wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
2,2,0,3,7,1,1,2,1,2,33,0,0,0.981132075,0.6,1,1,15.5,1,0.5,TRUE
4,1,0,7,21,0,1,6,4,0.333333333,96,1,0,0,0.583333333,0,0,22.5,1,0.75,TRUE
2,2,0,2,4,1,0,2,2,2,25,0,0,0.944444444,1,0,0,11.5,1,0.5,TRUE
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
8,1,0,7,8,28,5,2,8,2,8,0,0,0,0.339285714,0,0,0,1,1,TRUE
6,1,0,8,7,9,8,0,6,0.4,43,1,0,0,0.433333333,0,0,5.666666667,1,0.5,TRUE
27,1,3,13,122,283,7,9,11,0.880769231,1394,1,1,0,0.190883191,0,0,50.25925926,2,1.037,TRUE
8,1,0,2,24,0,2,1,4,0.642857143,235,1,0,0,0.375,0,0,27.625,1,0.875,TRUE
7,1,0,4,15,5,4,0,7,0.25,97,1,0,0,0.371428571,1,1,12.57142857,4,1.1429,TRUE
3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777777778,0,0,5,0,0,FALSE
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,TRUE
1,2,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,TRUE
7,1,0,2,8,15,1,2,6,0.833333333,34,1,2,0,0.357142857,0,0,3.428571429,1,0.8571,TRUE
74,1,0,18,185,2517,6,16,21,0.894216134,2390,1,2,0,0.152296535,0,0,31.05405405,5,1.2297,TRUE
7,1,0,5,24,9,3,4,7,0,202,1,1,0,0.428571429,0,0,27.71428571,1,0.8571,TRUE
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,FALSE
3,3,1,7,6,3,7,0,3,2,18,0,0,1,0.777777778,0,0,5,0,0,FALSE
4,2,0,3,13,6,1,2,2,2,62,0,0,0.945454545,0.357142857,0,0,14.5,3,1.5,TRUE
9,1,0,2,15,10,2,0,9,0.416666667,106,1,0,0,0.4,1,1,10.44444444,5,1.1111,TRUE
12,1,0,0,25,48,0,0,12,0.787878788,159,1,0,0,0.333333333,0,0,12,1,0.8333,TRUE
4,2,0,3,13,6,1,2,2,2,73,0,0,0.945454545,0.458333333,0,0,17.25,2,1,TRUE
7,1,3,9,39,13,3,6,6,0.75,446,1,0,0,0.404761905,0,0,62.42857143,27,5.1429,TRUE
6,1,0,3,7,3,2,1,6,0.6,34,1,0,0,0.555555556,0,0,4.333333333,1,0.6667,FALSE
2,2,0,4,4,1,0,4,2,2,11,0,0,0.944444444,0.75,0,0,4.5,1,0.5,TRUE
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,TRUE
21,1,0,11,123,156,1,11,16,0.932142857,2106,1,2,0,0.211111111,0,0,98.61904762,35,2.6667,FALSE
5,1,0,1,10,0,1,1,5,0,46,1,0,0,0.533333333,0,0,8,3,1.2,FALSE
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,FALSE
14,1,0,4,41,33,2,4,11,0.576923077,345,1,1,0,0.428571429,0,0,23.5,2,1,TRUE
3,1,0,2,3,3,2,0,3,2,3,0,0,0,1,0,0,0,1,1,FALSE
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
6,1,0,2,6,15,1,1,6,2,6,0,0,0,1,0,0,0,1,1,FALSE
4,1,0,2,9,0,1,1,4,0,28,1,0,0,0.625,0,0,5.75,1,0.75,FALSE
6,1,0,3,32,13,0,3,4,1.114285714,324,1,0,0,0.4,0,0,51.83333333,1,0.6667,FALSE
3,3,0,3,13,3,1,2,2,2,79,0,0,0.923076923,0.555555556,1,1,25.33333333,1,0.6667,FALSE
6,1,0,7,10,0,7,0,4,0,47,1,0,0,0.333333333,1,1,6.666666667,3,1.1667,TRUE
20,3,0,4,28,70,1,3,20,0.5,257,1,2,0.794117647,0.47,1,1,11.65,2,0.8,TRUE
3,1,0,1,6,0,1,0,2,0,22,1,0,0,0.666666667,0,0,6,2,1,FALSE
2,1,0,3,3,0,3,0,2,0.333333333,30,0,0,0,0.75,0,0,12.5,1,0.5,FALSE
4,1,0,4,28,0,1,3,4,0.444444444,193,1,0,0,0.5,0,0,46.5,1,0.75,FALSE
1,1,0,3,2,0,3,0,1,2,12,0,0,0,1,0,0,9,0,0,FALSE
2,1,0,3,3,1,3,1,1,1,15,0,2,0,1,0,0,5.5,1,0.5,TRUE
16,1,0,7,16,120,4,3,16,2,16,0,0,0,0.192708333,0,0,0,1,1,TRUE
8,1,0,9,24,0,8,1,8,0.142857143,110,1,1,0,0.325,1,1,12.5,4,1.25,TRUE
7,1,0,7,32,9,0,7,7,0.611111111,244,1,0,0,0.469387755,0,0,33.42857143,1,0.7143,FALSE
4,1,0,1,4,6,1,0,4,2,4,0,0,0,1,0,0,0,1,1,FALSE
10,1,0,2,30,11,2,1,4,0.73015873,209,1,0,0,0.361111111,0,0,19.2,1,0.8,TRUE
3,1,0,3,4,3,3,1,2,1,40,0,6,0,0.75,0,0,10.33333333,1,0.6667,FALSE
12,2,0,4,45,64,0,4,4,0.909090909,352,1,0,0.825396825,0.296296296,2,2,28.25,6,1.5,FALSE
3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.5,0,0,0,1,1,FALSE
